Name,Google Trends,Wikipedia
BMP,BMP file format,BMP file format
BPG,Better Portable Graphics,Better Portable Graphics
DjVu,DjVu,DjVu
DNG,Digital Negative,Digital Negative
ECW,ECW,ECW (file format)
EPS,Encapsulated PostScript,Encapsulated PostScript
FLIC,FLIC,FLIC (file format)
GIF,GIF,GIF
ILBM,ILBM,ILBM
JPEG,JPEG,JPEG
JPEG 2000,JPEG 2000,JPEG 2000
Netpbm,Netpbm ,Netpbm format
NEF,Nikon NEF,
PDF,Portable Document Format,Portable Document Format
PNG,PNG,Portable Network Graphics
PSD,PSD,Adobe Photoshop
RGBE,RGBE,RGBE
SVG,Scalable Vector Graphics,Scalable Vector Graphics
TIFF,TIFF,TIFF
